id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	GQLAbstractGrammarTest	15	157	99	74.75	25	89.90	15.15	28	0.20	15	1:09:09
2	GQLSingleAnonimousQueryGrammarTest	22	44	14	85.71	2	100.00	14.29	1	0.17	2	3:33:35
3	GQLRequestGrammarTest2	29	199	58	96.55	2	96.55	0.00	0	0.00	0	0:04:07
4	GQLRequestGrammarTest3	29	199	58	96.55	2	96.55	0.00	0	0.00	0	0:04:09
5	GQLRequestGrammarTest4	29	199	58	96.55	2	96.55	0.00	0	0.00	0	0:04:02
6	GQLRequestGrammarTest999	29	199	58	96.55	2	96.55	0.00	0	0.00	0	0:04:10
7	GQLRequestGrammarTest	29	199	58	96.55	2	96.55	0.00	0	0.00	0	0:12:17
8	GQLArgumentsTest2	16	23	17	47.06	9	47.06	0.00	0	0.00	0	0:31:10
9	GQLArgumentsTest3	16	23	17	47.06	9	47.06	0.00	0	0.00	0	0:30:56
10	GQLArgumentsTest4	16	23	17	47.06	9	47.06	0.00	0	0.00	0	0:32:28
11	GQLArgumentsTest999	16	23	17	47.06	9	47.06	0.00	0	0.00	0	0:27:17
12	GQLArgumentsTest	16	23	17	47.06	9	47.06	0.00	0	0.00	0	3:33:18
13	GQLSingleAnonimousQueryEvaluatorTest2	22	353	44	52.27	21	56.82	4.55	2	0.09	2	0:05:21
14	GQLSingleAnonimousQueryEvaluatorTest3	22	353	44	52.27	21	56.82	4.55	2	0.09	2	0:05:26
15	GQLSingleAnonimousQueryEvaluatorTest4	22	353	44	52.27	21	56.82	4.55	2	0.09	2	0:05:15
16	GQLSingleAnonimousQueryEvaluatorTest999	22	353	44	52.27	21	54.55	2.27	1	0.04	1	0:06:02
17	GQLSingleAnonimousQueryEvaluatorTest	22	353	44	52.27	21	56.82	4.55	2	0.09	2	0:19:33
18	GQLSchemaGrammarTest2	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:16:15
19	GQLSchemaGrammarTest3	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:22:55
20	GQLSchemaGrammarTest4	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:34:02
21	GQLSchemaGrammarTest10	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:22:32
22	GQLSchemaGrammarTest11	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:23:34
23	GQLSchemaGrammarTest12	57	251	103	93.20	7	100.00	6.80	5	0.07	7	2:26:48
24	GQLSchemaGrammarTest13	57	251	103	93.20	7	100.00	6.80	6	0.07	7	2:27:29
25	GQLSchemaGrammarTest14	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:29:52
26	GQLSchemaGrammarTest15	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:32:08
27	GQLSchemaGrammarTest16	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:30:47
28	GQLSchemaGrammarTest17	57	251	103	93.20	7	100.00	6.80	7	0.07	7	2:33:14
29	GQLSchemaGrammarTest18	57	251	103	93.20	7	100.00	6.80	6	0.07	7	2:36:35
30	GQLSchemaGrammarTest19	57	251	103	93.20	7	100.00	6.80	7	0.07	7	3:24:49
31	GQLSchemaGrammarTest999	57	251	103	93.20	7	93.20	0.00	0	0.00	0	0:11:01
32	GQLSchemaGrammarTest	57	251	103	93.20	7	100.00	6.80	7	0.07	7	26:41:02
33	GQLRequestGrammarEvaluatorTest	40	316	40	97.50	1	97.50	0.00	0	0.00	0	0:40:44
34	GQLSchemaGrammarEvaluatorTest	41	355	48	91.67	4	93.75	2.08	1	0.02	1	1:21:26
35	GQLDocumentNodeTest	114	129	79	72.15	22	77.22	5.06	4	0.07	4	103:23:46
